structure,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,mtot,fermi,band,toten,nelectrons,class
Mn2GeSiS6,2.99589,1.72968,10.96166,5.99178,3.45936,10.96188,-0.0,0.0,9.83356,-0.0,0.0,12.13729,3.88664,-0.0001,12.53216,1.05248,1.82317,12.53216,4.04856,3.36598,12.53216,2.25553,0.00029,9.43052,1.86838,3.23553,9.43052,4.86375,1.9532,9.43052,3.315,3.317,0.016,0.013,-0.039,-0.01,-0.03,-0.055,-0.029,-0.048,6.45,-2.602051,-476.717111,-52.71491070,58.0000,1
Mn2P2S6,3.02913,1.74887,11.05828,6.05827,3.49774,11.05501,-0.0,0.0,9.94744,-0.0,0.0,12.16585,4.07149,-0.00095,12.68362,0.99257,1.72107,12.68362,4.02334,3.52649,12.68362,1.98677,0.00095,9.42966,2.03656,3.52554,9.42966,5.06405,1.72012,9.42966,4.273,4.273,0.028,0.028,0.076,0.06,0.073,0.076,0.06,0.073,9.023,-2.689070,-515.383061,-53.56396074,60.0000,1
Mn2Si2S6,2.91214,1.68133,10.71929,5.82429,3.36266,10.72162,-0.0,0.0,9.60984,-0.0,0.0,11.83108,3.70131,0.00088,12.2239,1.06226,1.83812,12.2239,3.97288,3.20499,12.2239,5.03513,5.0431,9.21701,7.67418,3.20586,9.21701,4.76356,1.839,9.21701,2.092,2.092,-0.003,-0.003,-0.046,-0.027,-0.041,-0.046,-0.027,-0.041,3.952,-2.116402,-456.540938,-54.53115975,58.0000,1
Mn2SiPS6,3.00517,1.73503,11.03025,6.01034,3.47007,11.03128,0.0,-0.0,9.91477,0.0,-0.0,12.12973,4.01249,-0.00021,12.68375,0.99875,1.7303,12.68375,4.00428,3.47502,12.68375,5.07623,5.20444,9.47608,7.9794,3.41184,9.47608,4.97537,1.79392,9.47608,4.0,3.998,0.033,0.023,0.037,0.024,0.026,0.016,0.03,0.021,8.208,-2.731153,-497.101784,-54.32883244,59.0000,1
Ni2Ge2S6,2.98044,1.72076,11.74474,5.96089,3.44152,11.74376,-0.0,-0.0,10.52792,-0.0,-0.0,12.96058,3.68152,-0.0005,13.19294,1.13925,1.97424,13.19294,4.12057,3.18854,13.19294,2.27936,0.0005,10.29556,1.84119,3.18803,10.29556,4.82076,1.97373,10.29556,0.048,0.048,-0.001,-0.001,0.006,0.003,0.006,0.006,0.003,0.006,0.124,-2.850992,-522.050353,-41.27063637,64.0000,0
Ni2GePS6,2.94056,1.69773,11.47002,5.88112,3.39547,11.46697,0.0,-0.0,10.16939,0.0,-0.0,12.50332,3.85601,-0.00148,12.97436,1.01127,1.75454,12.97436,3.9544,3.34014,12.97436,2.26161,0.00012,9.98399,1.80985,3.13452,9.98399,4.7502,1.95856,9.98399,-0.707,0.692,-0.0,-0.0,-0.009,-0.007,0.013,0.006,0.007,-0.018,-0.023,-2.832658,-528.824304,-42.76308775,65.0000,0
Ni2GeSiS6,2.94897,1.70259,10.74591,5.89795,3.40519,10.7481,0.0,0.0,9.64935,-0.0,0.0,11.99366,3.76797,-0.00155,12.25391,1.06365,1.8454,12.25391,4.01532,3.26393,12.25391,5.21182,5.10502,9.28024,7.71312,3.14947,9.28024,4.76891,1.96106,9.28024,0.545,-0.522,0.001,0.0,0.031,0.008,-0.035,-0.036,-0.009,0.049,0.033,-2.582800,-497.503954,-43.16448605,64.0000,0
Ni2P2S6,2.90945,1.67977,10.65102,5.81892,3.35955,10.65315,-0.0,0.0,9.55163,-0.0,0.0,11.75255,3.80412,0.00052,12.14544,1.00785,1.74461,12.14544,3.91641,3.29421,12.14544,4.92425,5.03881,9.15874,7.72052,3.29472,9.15874,4.81196,1.74512,9.15874,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.316446,-527.261123,-44.07208378,66.0000,0
Ni2Si2S6,2.90912,1.67958,10.67612,5.81826,3.35917,10.6786,0.0,-0.0,9.54422,0.0,-0.0,11.8105,3.6999,0.00096,12.17019,1.06001,1.83408,12.17019,3.96748,3.20373,12.17019,5.02748,5.0378,9.18453,7.66737,3.20468,9.18453,4.7599,1.83503,9.18453,0.646,0.646,-0.0,-0.0,0.052,0.076,0.063,0.052,0.076,0.063,1.673,-2.500509,-491.537107,-44.92598486,64.0000,0
Ni2SiPS6,2.91018,1.68019,10.67236,5.82037,3.36039,10.67222,-0.0,0.0,9.50944,-0.0,0.0,11.73245,3.79025,-4e-05,12.19695,1.01503,1.75816,12.19695,3.92528,3.28247,12.19695,2.10519,-0.0001,9.18362,1.8575,3.21748,9.18362,4.76785,1.8232,9.18362,0.696,-0.703,-0.0,-0.0,0.007,0.007,-0.019,-0.018,-0.013,0.025,-0.017,-2.668396,-511.947299,-44.76847071,65.0000,0
